Title,W&R_ID,Filename,Author,Company of First Production,Place_of_first_production,Date,earliest,latest,span,Date_of_publication,Genre,Metadata_source,Play-type,STC_or_WING,Version,DEEP_ID,STC-Wing,verse,prose,Primary_alternative
Hengist,1950,Hengist_SilentReg_2003,Middleton Thomas,King's Men,,1620,1616,1620,5,2003,Tragedy,W&R,Adult Professional,Malone Soc,,NA,Malone Soc,"1,831",727,primary
Women Pleased,1965,WomenPleased_1647,Fletcher John,King's Men,,1620,1619,1623,5,1647,Tragicomedy,W&R,Adult Professional,B1581,,5143.28,B1581,"2,234",36,primary
Island Princess,1975,IslandPrincess_1647,Fletcher John,King's Men,,1621,1619,1621,3,1647,Tragicomedy,W&R,Adult Professional,B1581,,5143.14,B1581,"2,421",104,primary
Women Beware Women,1981,WomenBewareWomen_SilentReg_1657,Middleton Thomas,King's Men,,1621,1618,1621,4,1657,Tragedy,W&R,Adult Professional,M1989,,5171.02,M1989,"2,761",166,primary
Wild Goose Chase,1990,WildGooseChase_1652,Fletcher John,King's Men,,1621,1620,1621,2,1652,Comedy,W&R,Adult Professional,B1616,,1060,B1616,"2,299",0,primary
More Dissemblers Besides Women,1993,MoreDissemblers_SilentReg_1657,Middleton Thomas,King's Men,,1614,1621,1622,2,1657,Comedy,W&R,Adult Professional,M1989,,5171.01,M1989,"1,952",341,primary
Pilgrim,1998,Pilgrim_1647,Fletcher John,King's Men,,1621,1619,1621,3,1647,Comedy,W&R,Adult Professional,B1581,,5143.22,B1581,"2,281",0,primary
Double Marriage,2007,DoubleMarriage_SilentReg_1647,Fletcher John; Massinger Philip,King's Men,,1620,1620,1623,4,1647,Tragedy,W&R,Adult Professional,B1581,,5143.21,B1581,"2,618",21,primary
Changeling,2010,Changeling_SilentReg_1653,Middleton and Rowley,Lady Elizabeth's Men,,1622,,,1,1653,Tragedy,W&R,Adult Professional,M1981,,1068,M1981,"1,617",484,primary
Nice Valor,2023,NiceValour_1647,Middleton Thomas,unknown,,1622,1622,1627,6,1647,Comedy,W&R,Adult Professional,B1581,,5143.16,B1581,"1,682",56,primary
Wise Woman of Hogsdon,2037,WiseWomanofHogsdon_1638,Heywood Thomas,Queen Anne's Men,,1604,1613,1638,26,1638,Comedy,W&R,Adult Professional,13370,,889,13370,937,"1,143",primary
New Wonder,2084,NewWonderWomanNeverVexed_SilentReg_1632,Rowley Samuel,unknown,,1611,1611,1626,16,1632,Comedy,W&R,Adult Professional,21423,,789,21423,545,"2,266",primary
Wife for a Month,2096,WifeForaMonth_1647,Fletcher John,King's Men,,1624,,,1,1647,Tragicomedy,W&R,Adult Professional,B1581,,5143.29,B1581,"2,362",13,primary
English Traveller,2098,EnglishTraveller_1633,Heywood Thomas,Queen Henrietta Maria's Men,,1627,1623,1624,2,1633,Tragicomedy,W&R,Adult Professional,13315,,821,13315,"2,188",342,primary
Game at Chess,2130,GameAtChess_SilentReg_1990,Middleton Thomas,King's Men,,1624,,,1,1990,Political Satire,W&R,Adult Professional,Malone Soc,,725,Malone Soc,"1,833",47,primary
Rule a Wife and Have a Wife,2141,RuleaWife_1679,Fletcher John,King's Men,,1624,,,1,1679,Comedy,W&R,Adult Professional,11073,,985,11073,"2,043",7,primary
Staple of News,2174,StapleofNews_SilentReg_1631,Jonson Ben,King's Men,,1626,,,1,1631,Comedy,W&R,Adult Professional,14754,,5097.04,14754,"2,625",319,primary
Unnatural Combat,2185,UnnaturalCombat_SilentReg_1639,Massinger Philip,King's Men,,1624,1623,1639,17,1639,Tragedy,W&R,Adult Professional,17643,,923,17643,"2,241",0,primary
Roman Actor,2190,RomanActor_SilentReg_1629,Massinger Philip,King's Men,,1626,,,1,1629,Tragedy,W&R,Adult Professional,17642,,740,17642,"2,199",0,primary
Lover's Melancholy,2259,LoversMelancholy_1629,Ford John,King's Men,,1628,,,1,1629,Tragicomedy,W&R,Adult Professional,11163,,734,11163,"1,865",480,primary
New Inn,2263,NewInn_SilentReg_1631,Jonson Ben,King's Men,,1629,,,1,1631,Comedy,W&R,Adult Professional,14780,,767,14780,"2,550",45,primary
Northern Lass,2277,NorthernLass_1632,Brome Richard,King's Men,,1629,,,1,1632,Comedy,W&R,Adult Professional,3819,,793,3819,302,"2,775",primary
Broken Heart,2281,BrokenHeart_SilentReg_1633,Ford John,King's Men,,1630,1625,1633,9,1633,Tragedy,W&R,Adult Professional,11156,,817,11156,"2,421",3,primary
2 Fair Maid of the West,2320,2FairMaidoftheWest_1631,Heywood Thomas,Queen Henrietta Maria's Men,,1631,1621,1631,11,1631,Comedy,W&R,Adult Professional,13320,,774,13320,"2,023",392,primary
'Tis Pity She's a Whore,2329,TisPity_SilentReg_1633,Ford John,Queen Henrietta Maria's Men,,1632,1621,1631,11,1633,Tragedy,W&R,Adult Professional,11165,,823,11165,"1,574",693,primary
Traitor,2337,Traitor_SilentReg_1635,Shirley James,Queen Henrietta Maria's Men,,1631,,,1,1635,Tragedy,W&R,Adult Professional,22458,,842,22458,"2,028",331,primary
Love's Cruelty,2349,LovesCruelty_SilentReg_1640,Shirley James,Queen Henrietta Maria's Men,,1631,,,1,1640,Tragedy,W&R,Adult Professional,22449,,946,22449,"1,217",843,primary
Love's Sacrifice,2360,LovesSacrifice_SilentReg_1633,Ford John,Queen Henrietta Maria's Men,,1632,1626,1633,8,1633,Tragedy,W&R,Adult Professional,11164,,815,11164,"1,650",861,primary
Magnetic Lady,2385,MagneticLady_SilentReg_1640,Jonson Ben,King's Men,,1632,,,1,1640,Comedy,W&R,Adult Professional,14754,,5124.19,14754,"2,272",312,primary
Perkin Warbeck,2399,PerkinWarbeck_1634,Ford John,Queen Henrietta Maria's Men,,1633,1625,1634,10,1634,History,W&R,Adult Professional,11157,,833,11157,"2,368",103,primary
Weeding of the Covent Garden,2401,WeedingofCoventGarden_1658,Brome Richard,King's Men,,1632,1632,1633,2,1658,Comedy,W&R,Adult Professional,B4872,,5182.04,B4872,128,"3,163",primary
Tale of a Tub,2403,TaleofaTub_SilentReg_1640,Jonson Ben,Queen Henrietta Maria's Men,,1633,,,1,1640,Comedy,W&R,Adult Professional,14754,,5124.2,14754,"2,484",14,primary
Gamester,2418,Gamester_1637,Shirley James,Queen Henrietta Maria's Men,,1633,1630,1637,8,1637,Comedy,W&R,Adult Professional,22443,,876,22443,"1,928",511,primary
City Wit,2419,CityWit_1653,Brome Richard,King's Revels Company,,1630,1630,1637,8,1653,Comedy,W&R,Adult Professional,B4866,,1078,B4866,143,"2,751",primary
Challenge for Beauty,2434,ChallengeforBeauty_1636,Heywood Thomas,King's Men,,1635,1634,1636,3,1636,Tragicomedy,W&R,Adult Professional,13311,,858,13311,"1,515",636,primary
Opportunity,2455,Opportunity_1640,Shirley James,Queen Henrietta Maria's Men,,1634,,,1,1640,Comedy,W&R,Adult Professional,22451,,948,22451,"1,858",417,primary
Antiquary,2458,Antiquary_1641,Marmion Shackerley,Queen Henrietta Maria's Men,,1635,1634,1636,3,1641,Comedy,W&R,Adult Professional,M703,,987,M703,"1,013","1,513",primary
Sparagus Garden,2479,SparagusGarden_1640,Brome Richard,King's Revels Company,,1635,,,1,1640,Comedy,W&R,Adult Professional,3820,,970,3820,726,"2,149",primary
Fancies Chaste and Noble,2528,Fancies_1638,Ford John,Queen Henrietta Maria's Men,,1635,1635,1636,2,1638,Comedy,W&R,Adult Professional,11159,,5149.06,11159,"1,696",490,primary
Sir Thomas Wyatt,1369a,SirThomasWyatt_1607,Dekker and Webster,Queen Anne's Men,,1602,,,1,1607,History,W&R,Adult Professional,6537,,499,6537,"1,219",193,primary
Yorkshire Tragedy,1484a,YorkshireTragedy_SilentReg_1608,Middleton Thomas,King's Men,,1605,1605,1608,4,1608,Tragedy,W&R,Adult Professional,22340,,523,22340,536,268,primary
Aglaura,NA,Aglaura_SilentReg_1638,Suckling John,King's Men,,1637,NA,NA,NA,1638,Tragedy; Tragicomedy,DEEP,Adult Professional,23420,,902,23420,NA,NA,primary
Brothers,NA,Brothers_1653,Shirley James,King's Men,,1641,NA,NA,NA,1653,Comedy,DEEP,Adult Professional,S3486,,1080,S3486,NA,NA,primary
Cardinal,NA,Cardinal_SilentReg_1653,Shirley James,King's Men,,1641,NA,NA,NA,1652,Tragedy,DEEP,Adult Professional,S3461,,1084,S3461,NA,NA,primary
Jovial Crew or The Merry Beggars,NA,JovialCrew_1652,Brome Richard,Beeston's Boys,,1641,NA,NA,NA,1652,Comedy,DEEP,Adult Professional,B4873,,1062,B4873,NA,NA,primary
Lady's Trial,NA,LadiesTrial_1639,Ford John,Beeston's Boys,,1638,NA,NA,NA,1639,Comedy,DEEP,Boys Professional,11161,,918,11161,NA,NA,primary
Mad Couple Well Matched,NA,MadCoupleWellMatched_1653,Brome Richard,Beeston's Boys,,1639,NA,NA,NA,1653,Comedy,DEEP,Boys Professional,B4871,,5153.01,B4871,NA,NA,primary
Royal Master,NA,RoyalMaster_1638,Shirley James,Olgilby's Men; Queen Henrietta Maria's Men,,1637,NA,NA,NA,1638,Comedy,DEEP,Adult Professional,22454,,896,22454,NA,NA,primary
Sad Shepherd,NA,SadShepherd_SilentReg_1640,Jonson Ben,NA,,1637,NA,NA,NA,1640,Comic Pastoral,DEEP,Unacted; Professional (?),14754,,5124.21,14754,NA,NA,primary
Sisters,NA,Sisters_1653,Shirley James,King's Men,,1642,NA,NA,NA,1653,Comedy,DEEP,Adult Professional,S3485,,1081,S3485,NA,NA,primary
Unfortunate Lovers,NA,UnfortunateLovers_SilentReg_1643,Davenant William,King's Men,,1638,NA,NA,NA,1643,Tragedy,DEEP,Adult Professional,D348,,999,D348,NA,NA,primary
,,,,,,,,,,,,,,,,,,,,
