Title,W&R_ID,Filename,Author,Company of First Production,Place_of_first_production,Date,earliest,latest,span,Date_of_publication,Genre,Metadata_source,Play-type,STC_or_WING,Version,DEEP_ID,STC-Wing,verse,prose,Primary_alternative
Four Prentices of London,1351,FourPrenticesofLondon_1615,Heywood Thomas,Queen Anne's Men,,1594,1601,1607,7,1615,Heroical Romance,W&R,Adult Professional,13321,,631,13321,"2,448",192,primary
Gentleman Usher,1377,GentlemanUsher_1606,Chapman George,unknown,,1602,1602,1605,4,1606,Comedy,W&R,Boys Professional,4978,,419,4978,"2,119",299,primary
Hoffman,1384,Hoffman_1631,Chettle Henry,Admiral's (Nottingham's) Men,,1602,,,1,1631,Tragedy,W&R,Adult Professional,5125,,761,5125,"1,994",432,primary
Malcontent,1391,Malcontent_1604,Marston John,Children of the Queen's Revels,,1604,1602,1604,3,1604,Tragicomedy,W&R,Adult Professional; Boys Professional,17479,,359,17479,744,"1,150",primary
Woman Killed with Kindness,1393,WomanKilledwithKindness_SilentReg_1607,Heywood Thomas,Worcester's Men,,1603,,,1,1607,Tragedy,W&R,Adult Professional,13371,,502,13371,"1,772",211,primary
Sejanus,1412,SejanusHisFall_SilentReg_1605,Jonson Ben,King's Men,,1604,,,1,1605,Tragedy,W&R,Adult Professional,14782,,401,14782,"3,149",101,primary
Measure for Measure,1413,MeasureforMeasure_SilentReg_1623,Shakespeare & Middleton,King's Men,,1603,1603,1604,2,1623,Comedy,W&R,Adult Professional,22273,F1,5081.04,22273,"1,596","1,019",primary
Phoenix,1420,Phoenix_SilentReg_1607,Middleton Thomas,Children of Paul's (second),,1603,1603,1604,2,1607,Comedy,W&R,Boys Professional,17892,,464,17892,746,"1,733",primary
1 If You Know Not Me You Know Nobody,1427,1IfyouKnowNotMe_1605,Heywood Thomas,Queen Anne's Men,,1604,1603,1605,3,1605,History,W&R,Adult Professional,13328,,392,13328,"1,105",322,primary
Bussy D'Ambois,1428,BussyDAmbois_1607,Chapman George,Children of Paul's (second),,1604,,,1,1607,Foreign History,W&R,Boys Professional,4966,,472,4966,"2,152",150,primary
2 If You Know Not Me You Know Nobody,1433,2IfYouKnowNotMe_1606,Heywood Thomas,Queen Anne's Men,,1605,1603,1605,3,1606,History,W&R,Adult Professional,13336,,412,13336,"1,756",798,primary
Dutch Courtesan,1434,DutchCourtesan_1605,Marston John,Children of the Queen's Revels,,1605,1603,1605,3,1605,Comedy,W&R,Boys Professional,17475,,391,17475,608,"1,509",primary
Law Tricks,1436,LawTricks_1608,Day John,Children of the Queen's Revels,,1604,1604,1605,2,1608,Comedy,W&R,Boys Professional,6416,,521,6416,"1,192",814,primary
Othello,1437,Othello_1622,Shakespeare William,King's Men,,1604,1601,1604,4,1622,Tragedy,W&R,Adult Professional,22305,Q1,694,22305,"2,348",672,primary
Othello F,1437,Othello_1623,Shakespeare William,King's Men,,1604,1601,1604,4,1623,Tragedy,W&R,Adult Professional,22305,Q1,694,22305,"2,348",672,alternative
May Day,1439,MayDay_1611,Chapman George,Children of the Chapel (second),,1602,1601,1608,8,1611,Comedy,W&R,Boys Professional,4980,,573,4980,171,"2,415",primary
Philotas,1440,Philotas_1605,Daniel Samuel,Children of the Queen's Revels,,1604,1600,1604,5,1605,Tragedy,W&R,Boys Professional,6239,,411,6239,"2,131",0,primary
When You See Me You Know Me,1441,WhenYouSeeMe_1605,Rowley Samuel,Prince Henry's Men,,1604,1604,1605,2,1605,History,W&R,Adult Professional,21417,,386,21417,"1,823","1,192",primary
Michaelmas Term,1444,MichaelmasTerm_SilentReg_1607,Middleton Thomas,Children of Paul's (second),,1604,1604,1607,4,1607,Comedy,W&R,Boys Professional,17890,,466,17890,569,"1,779",primary
All Fools,1448,AllFools_1605,Chapman George,Children of the Queen's Revels,,1601,,,1,1605,Comedy,W&R,Boys Professional,4963,,407,4963,"1,772",478,primary
Parasitaster,1455,Parasitaster_1606,Marston John,Children of the Queen's Revels,,1604,1603,1606,4,1606,Comedy,W&R,Boys Professional,17483,,426,17483,653,"1,181",primary
Widow's Tears,1456,WidowsTears_1612,Chapman George,Children of the Queen's Revels,,1604,1603,1605,3,1612,Comedy,W&R,Boys Professional,4994,,577,4994,723,"1,895",primary
Caesar and Pompey,1457,CaesarandPompey_1631,Chapman George,Unknown,,1605,1595,1606,12,1631,Classical History,W&R,Adult Professional (?); Unacted (?),4993,,769,4993,"2,483",0,primary
2 Honest Whore,1459,2HonestWhore_1630,Dekker Thomas,Prince Henry's Men,,1605,1604,1608,5,1630,Comedy,W&R,Adult Professional,6506,,755,6506,"1,085","1,735",primary
All's Well That Ends Well,1461,AllsWell_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1605,1601,1608,8,1623,Comedy,W&R,Adult Professional,22273,F1,5081.12,22273,"1,416","1,275",primary
Trick to Catch the Old One,1467,TricktoCatchtheOldOne_SilentReg_1608,Middleton Thomas,Children of Paul's (second),,1605,1604,1606,3,1608,Comedy,W&R,Boys Professional,17896,,506,17896,527,"1,572",primary
Monsieur D'Olive,1468,MonsieurdOlive_1606,Chapman George,Children of the Queen's Revels,,1605,1605,1606,2,1606,Comedy,W&R,Boys Professional,4983,,445,4983,863,"1,099",primary
Mad World My Masters,1479,MadWorldmyMasters_SilentReg_1608,Middleton Thomas,Children of Paul's (second),,1605,1605,1606,2,1608,Comedy,W&R,Boys Professional,17888,,530,17888,513,"1,640",primary
Mariam,1481,Mariam_1613,Cary Elizabeth,NA,,1604,1602,1609,8,1613,Tragedy,W&R,Closet,4613,,586,4613,"2,171",0,primary
